,zipcode,state,target_clean,total_schools,has_preschool,has_elementary_school,has_middle_school,has_highschool,best_preschool_rating,best_elementary_school_rating,best_middle_school_rating,best_highschool_rating,preschool_distance,elementary_school_distance,middle_school_distance,highschool_distance,pool,sqft_clean,beds_clean,baths_int,has_half_bath,stories_int,is_split_level,fireplaces,has_firepit,heating_forced_air,heating_gas,heating_electric,heating_heat_pump,heating_oil,heating_baseboard,heating_radiant,heating_hot_water_steam,heating_central,heating_other,no_heating,cooling_central,cooling_heat_pump,cooling_evaporative,cooling_window_wall,cooling_fans,cooling_zoned,cooling_other,cooling_no,parking_garage,parking_carport,parking_driveway,parking_off_street,parking_other,parking_spaces,was_remodeled,city_clean,is_foreclosure,type_lot_land,type_single_family,type_condo,type_traditional,type_townhouse,type_multi_family,type_coop,type_mobile_manufactured,type_apartment,type_penthouse,type_farm_ranch,type_other,lotsize_clean,type_sum,house_age,is_new_construction,is_historical,best_preschool_rating_missing,best_elementary_school_rating_missing,best_middle_school_rating_missing,best_highschool_rating_missing
2063,32218,FL,49000.0,3,0,1,1,1,0.0,4.0,3.0,3.0,100.0,2.08,2.84,3.3,0,0.0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,jacksonville,0,1,0,0,0,0,0,0,0,0,0,0,0,174240.0,1,0.0,0,0,0,0,0,0
2064,98042,WA,648950.0,3,1,1,1,1,5.0,5.0,5.0,3.0,0.6,0.6,0.6,7.0,0,2853.0,4.0,3.0,0,2.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,kent,0,0,1,0,0,0,0,0,0,0,0,0,0,6098.0,1,7.0,1,0,0,0,0,0
2065,34987,FL,225000.0,8,1,1,1,1,5.0,8.0,8.0,5.0,4.5,5.1,5.1,3.62,0,1723.0,4.0,2.0,0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,port saint lucie,0,0,1,0,0,0,0,0,0,0,0,0,0,6098.0,1,20.0,0,0,0,0,0,0
2066,33155,FL,400000.0,5,1,1,1,1,10.0,8.0,10.0,5.0,16.6,0.5,16.6,1.8,0,1993.0,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,miami,0,0,0,0,0,0,0,0,0,0,0,0,1,8000.0,1,72.0,0,0,0,0,0,0
2068,48238,MI,34900.0,2,0,1,1,1,0.0,2.0,2.0,1.0,100.0,1.8,1.8,3.4,0,1464.0,3.0,1.0,0,2.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,detroit,0,0,1,0,0,0,0,0,0,0,0,0,0,3920.0,1,100.0,0,1,0,0,0,0
2069,28803,NC,480000.0,8,1,1,1,1,7.0,8.0,4.0,8.0,2.05,0.84,1.4,0.84,0,2079.0,3.0,2.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,asheville,0,0,1,0,0,0,0,0,0,0,0,0,0,10890.0,1,97.0,0,1,0,0,0,0
2070,89113,NV,199000.0,3,1,1,1,1,9.0,9.0,5.0,5.0,1.4,1.4,2.0,1.5,0,1409.0,3.0,2.0,0,2.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,las vegas,0,0,0,1,0,0,0,0,0,0,0,0,0,1409.0,1,20.0,0,0,0,0,0,0
2072,90046,CA,2100000.0,8,1,1,1,1,0.0,8.0,7.0,8.0,0.99,0.4,0.3,0.4,0,3157.0,4.0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,los angeles,0,0,1,0,0,0,0,0,0,0,0,0,0,8100.0,1,105.0,0,1,1,0,0,0
2073,78046,TX,168000.0,3,1,1,1,1,5.0,5.0,6.0,2.0,0.27,0.27,1.07,1.11,0,1330.0,3.0,2.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,laredo,0,0,1,0,0,0,0,0,0,0,0,0,0,6861.0,1,8.0,1,0,0,0,0,0
2074,77084,TX,210000.0,3,1,1,1,1,6.0,6.0,6.0,6.0,0.8,0.8,0.4,1.8,0,2203.0,,2.0,0,2.0,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,houston,0,0,0,0,1,0,0,0,0,0,0,0,0,8586.0,1,23.0,0,0,0,0,0,0
